Number,Age,Gender,BirthPlace,Education," «Маш, а Вы не могли бы подойти, пожалуйста?»","«Даш, Вы тоже решили пораньше прийти?»","«Саш, Вы не могли бы закрыть окно, пожалуйста?»"
1,17,Женский,Переславль-Залесский,незаконченное среднее (=школьник),нормально,нормально,нормально
2,23,Женский,Сургут,высшее,фамильярно,нормально,нормально
3,20,Женский,Ростов-на-Дону,неоконченное высшее,нормально,нормально,нормально
4,19,Женский,Москва,неоконченное высшее,фамильярно,нормально,фамильярно
5,22,Женский,Жуковский МО,высшее,фамильярно,нормально,нормально
6,22,Женский,Марий Эл,высшее,фамильярно,нормально,фамильярно
7,18,Женский,Санкт-Петербург,неоконченное высшее,фамильярно,фамильярно,нормально
8,19,Мужской,Московская область,неоконченное высшее,нормально,нормально,нормально
9,19,Женский,Ульяновск,неоконченное высшее,нормально,нормально,нормально
10,18,Женский,Москва,неоконченное высшее,нормально,нормально,фамильярно
11,18,Мужской,Санкт-Петербург,неоконченное высшее,фамильярно,нормально,фамильярно
12,16,Мужской,Москва,неоконченное высшее,нормально,нормально,нормально
13,18,Женский,Вологда,неоконченное высшее,фамильярно,нормально,фамильярно
14,28,Женский,Г. Усть-Илимск Иркутской обл.,высшее,фамильярно,фамильярно,нормально
15,17,Мужской,Москва,неоконченное высшее,нормально,нормально,нормально
16,19,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
17,24,Мужской,Петропавловск-Камчатский,неоконченное высшее,нормально,нормально,нормально
18,17,Женский,Москва,неоконченное высшее,фамильярно,нормально,нормально
19,20,Женский,Глазов,неоконченное высшее,фамильярно,нормально,фамильярно
20,18,Женский,Московская область,неоконченное высшее,грубо,фамильярно,фамильярно
21,16,Женский,Череповец,незаконченное среднее (=школьник),фамильярно,фамильярно,нормально
22,20,Женский,Владимирская область,неоконченное высшее,фамильярно,фамильярно,нормально
23,29,Мужской,Ярославль,высшее,фамильярно,нормально,фамильярно
24,19,Мужской,Санкт-Петербург,неоконченное высшее,фамильярно,фамильярно,нормально
25,16,Женский,Санкт Петербург,незаконченное среднее (=школьник),фамильярно,грубо,нормально
26,27,Мужской,Ленинград,высшее,фамильярно,нормально,фамильярно
27,25,Женский,Санкт-Петербург,высшее,нормально,нормально,нормально
28,19,Мужской,Москва,неоконченное высшее,нормально,фамильярно,нормально
29,19,Женский,Москва,неоконченное высшее,грубо,нормально,нормально
30,25,Женский,г. Череповец,неоконченное высшее,фамильярно,фамильярно,нормально
31,25,Женский,"Иркутская область, г. Усть-Илимск",высшее,нормально,нормально,нормально
32,19,Женский,Московская область,неоконченное высшее,нормально,нормально,грубо
33,21,Женский,Москва,неоконченное высшее,фамильярно,нормально,нормально
34,23,Женский,Москва ,высшее,фамильярно,нормально,нормально
35,19,Мужской,Москва,среднее,фамильярно,нормально,фамильярно
36,19,Женский,Серпухов,неоконченное высшее,фамильярно,нормально,нормально
37,16,Мужской,Московская область,незаконченное среднее (=школьник),фамильярно,фамильярно,фамильярно
38,27,Мужской,Россия,неоконченное высшее,фамильярно,фамильярно,фамильярно
39,17,Женский,Долгопрудный,неоконченное высшее,фамильярно,нормально,нормально
40,21,Женский,Санкт-Петербург,неоконченное высшее,фамильярно,нормально,фамильярно
41,19,Женский,Москва,неоконченное высшее,нормально,грубо,фамильярно
42,16,Женский,Москва,неоконченное высшее,фамильярно,нормально,нормально
43,18,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
44,18,Женский,Санкт-Петербург ,среднее,нормально,нормально,нормально
45,18,Женский,Владимир,неоконченное высшее,фамильярно,нормально,нормально
46,15,Женский,Москва ,незаконченное среднее (=школьник),нормально,нормально,нормально
47,22,Мужской,Коломна,высшее,фамильярно,нормально,нормально
48,19,Женский,Красногорск ,неоконченное высшее,фамильярно,нормально,нормально
49,21,Женский,Москва,высшее,фамильярно,нормально,нормально
50,21,Женский,"Россия, Восточная Сибирь",неоконченное высшее,фамильярно,нормально,фамильярно
51,18,Женский,Москва,неоконченное высшее,фамильярно,нормально,фамильярно
52,18,Женский,Новосибирск,неоконченное высшее,фамильярно,нормально,нормально
53,19,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
54,19,Женский,Москва,неоконченное высшее,нормально,нормально,фамильярно
55,19,Женский,Новосибирск ,неоконченное высшее,нормально,нормально,нормально
56,27,Женский,Россия,высшее,фамильярно,нормально,фамильярно
57,21,Женский,Йошкар-Ола,неоконченное высшее,фамильярно,фамильярно,нормально
58,18,Мужской,Пермь,неоконченное высшее,нормально,нормально,нормально
59,18,Женский,Москва,среднее специальное,фамильярно,фамильярно,фамильярно
60,20,Мужской,Москва,неоконченное высшее,фамильярно,нормально,нормально
61,18,Женский,Химки ,неоконченное высшее,нормально,нормально,нормально
62,29,Женский,"Московская область, г. Пущино",высшее,фамильярно,нормально,фамильярно
63,21,Мужской,Улан-Удэ,неоконченное высшее,нормально,нормально,нормально
64,22,Женский,владимирская обл,высшее,фамильярно,нормально,фамильярно
65,30,Мужской,Москва,высшее,фамильярно,нормально,нормально
66,19,Женский,Москва,неоконченное высшее,фамильярно,нормально,фамильярно
67,21,Мужской,Архангельск,неоконченное высшее,нормально,нормально,нормально
68,15,Женский,В Екатеринбурге,незаконченное среднее (=школьник),фамильярно,фамильярно,фамильярно
69,22,Женский,Одинцово,неоконченное высшее,фамильярно,фамильярно,нормально
70,51,Женский,Мичуринск,высшее,фамильярно,нормально,фамильярно
71,18,Женский,Березники,среднее,нормально,фамильярно,нормально
72,20,Женский,Москва ,неоконченное высшее,нормально,нормально,нормально
73,18,Женский,Курган ,высшее,фамильярно,нормально,нормально
74,16,Женский,Москва,незаконченное среднее (=школьник),нормально,нормально,нормально
75,20,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
76,16,Женский,Санкт-Петербург,незаконченное среднее (=школьник),нормально,нормально,нормально
77,25,Женский,Москва,высшее,грубо,нормально,нормально
78,19,Женский,Волгоград ,среднее,фамильярно,нормально,нормально
79,20,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
80,19,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
81,18,Женский,Москва,незаконченное среднее (=школьник),нормально,нормально,нормально
82,29,Женский,Татарстан,неоконченное высшее,нормально,нормально,нормально
83,16,Женский,Москва,незаконченное среднее (=школьник),фамильярно,нормально,нормально
84,23,Мужской,г. Уфа,неоконченное высшее,фамильярно,фамильярно,фамильярно
85,20,Женский,Москва,неоконченное высшее,фамильярно,нормально,нормально
86,16,Женский,Россия,незаконченное среднее (=школьник),фамильярно,нормально,нормально
87,23,Мужской,Москва ,высшее,фамильярно,нормально,нормально
88,16,Женский,Санкт-Петербург,незаконченное среднее (=школьник),фамильярно,нормально,нормально
89,32,Женский,Чусовой ,высшее,фамильярно,нормально,нормально
90,20,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
91,20,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
92,22,Мужской,Архангельск,высшее,нормально,нормально,фамильярно
93,18,Женский,Москва,незаконченное среднее (=школьник),фамильярно,грубо,фамильярно
94,34,Мужской,Санкт Петербург,высшее,нормально,нормально,нормально
95,19,Женский,Санкт-Петербург,неоконченное высшее,фамильярно,нормально,нормально
96,20,Мужской,"Чадыр-Лунга, респ. Молдова",неоконченное высшее,нормально,нормально,нормально
97,27,Женский,Москва,высшее,нормально,нормально,нормально
98,19,Женский,Москва,неоконченное высшее,фамильярно,фамильярно,фамильярно
99,16,Мужской,Москва ,незаконченное среднее (=школьник),нормально,фамильярно,нормально
100,20,Женский,Москва,неоконченное высшее,грубо,фамильярно,нормально
101,20,Женский,Москва,неоконченное высшее,грубо,фамильярно,нормально
102,39,Женский,город Ленинград,высшее,грубо,фамильярно,фамильярно
103,19,Мужской,Ростов,неоконченное высшее,фамильярно,нормально,нормально
104,19,Мужской,Ростов,неоконченное высшее,фамильярно,нормально,нормально
105,19,Мужской,Ростов,неоконченное высшее,фамильярно,нормально,нормально
106,17,Мужской,Москва,среднее,нормально,нормально,нормально
107,19,Женский,Москва,неоконченное высшее,фамильярно,нормально,фамильярно
108,18,Женский,Россия,среднее,фамильярно,фамильярно,фамильярно
109,51,Женский,Московская область ,высшее,фамильярно,нормально,нормально
110,18,Мужской,Москва,среднее,грубо,нормально,нормально
111,18,Женский,Казахстан,неоконченное высшее,фамильярно,нормально,нормально
112,16,Женский,Москва,незаконченное среднее (=школьник),нормально,нормально,нормально
113,18,Мужской,Лтрнецк,неоконченное высшее,фамильярно,нормально,фамильярно
114,18,Женский,Г. Гуково,неоконченное высшее,нормально,фамильярно,нормально
115,35,Женский,Ленинград,высшее,нормально,нормально,нормально
116,32,Женский,Москва,высшее,фамильярно,нормально,фамильярно
117,19,Женский,Пермь,неоконченное высшее,нормально,нормально,нормально
118,20,Мужской,Москва,неоконченное высшее,нормально,нормально,нормально
119,38,Женский,Ленинград,высшее,грубо,грубо,грубо
120,20,Женский,пермь,неоконченное высшее,фамильярно,нормально,фамильярно
121,21,Женский,Москва,высшее,фамильярно,нормально,нормально
122,27,Женский,Ленинград,высшее,грубо,нормально,фамильярно
123,29,Мужской,Москва,высшее,фамильярно,нормально,нормально
124,26,Женский,Саратов,высшее,фамильярно,нормально,нормально
125,19,Женский,Саратов,среднее,фамильярно,фамильярно,нормально
