id,prm,val
1,age,16
1,sex,м
1,birthPlace,Москва
1,educLevel,школьник
2,age,55
2,sex,ж
2,birthPlace,Москва
2,educLevel,высшее
3,age,20
3,sex,ж
3,birthPlace,Пермь
3,educLevel,неоконченное_высшее
4,age,55
4,sex,м
4,birthPlace,Москва
4,educLevel,высшее
5,age,51
5,sex,ж
5,birthPlace,Мичуринск
5,educLevel,высшее
6,age,16
6,sex,ж
6,birthPlace,Москва
6,educLevel,школьник
7,age,14
7,sex,м
7,birthPlace,МО
7,educLevel,школьник
8,age,14
8,sex,м
8,birthPlace,Москва
8,educLevel,школьник
9,age,51
9,sex,ж
9,birthPlace,Москва
9,educLevel,высшее
10,age,30
10,sex,ж
10,birthPlace,Чита
10,educLevel,высшее
11,age,66
11,sex,ж
11,birthPlace,Рязань
11,educLevel,высшее
12,age,58
12,sex,ж
12,birthPlace,Николаев
12,educLevel,среднее_специальное
13,age,25
13,sex,ж
13,birthPlace,Грозный
13,educLevel,высшее
14,age,52
14,sex,ж
14,birthPlace,Москва
14,educLevel,высшее
15,age,19
15,sex,ж
15,birthPlace,Губкин
15,educLevel,неоконченное_высшее
16,age,19
16,sex,ж
16,birthPlace,Москва
16,educLevel,среднее
17,age,19
17,sex,ж
17,birthPlace,Бишкек
17,educLevel,неоконченное_высшее
18,age,23
18,sex,м
18,birthPlace,Москва
18,educLevel,среднее
19,age,16
19,sex,ж
19,birthPlace,Новомосковск
19,educLevel,школьник
20,age,15
20,sex,ж
20,birthPlace,Москва
20,educLevel,школьник
21,age,15
21,sex,ж
21,birthPlace,Москва
21,educLevel,школьник
22,age,16
22,sex,м
22,birthPlace,Нальчик
22,educLevel,школьник
23,age,15
23,sex,ж
23,birthPlace,Тула
23,educLevel,школьник
24,age,15
24,sex,м
24,birthPlace,Обнинск
24,educLevel,школьник
25,age,16
25,sex,ж
25,birthPlace,Москва
25,educLevel,школьник
26,age,16
26,sex,ж
26,birthPlace,Москва
26,educLevel,школьник
